Name,Assemble,Type,Km,CarColor,InteriorColor,CarDoor,CarSeat,Gearbox,Price,Location,Status,EngineCar,Capacity,Trademark,ProductionYear
 Mercedes Benz GLE Class GLE 450 4Matic - 2022,Nhập khẩu,SUV,0,Đỏ,Nâu,5,5,Số tự động,4359, Hà Nội ,mới,Xăng,3.0,Mercedes,2022
 Ford F150 Limited 3.5 V6 - 2020,Nhập khẩu,Bán tải / Pickup,0,Trắng,Đen,4,5,Số tự động,4400, Hà Nội ,cũ,Xăng,3.5,Ford,2020
 VinFast Lux SA 2.0 Tiêu chuẩn - 2022,Lắp ráp trong nước,SUV,0,Xanh,Kem,5,7,Số tự động,1160, Bình Dương ,mới,Xăng,2.0,VinFast,2022
 Mercedes Benz V class V220d CDI - 2016,Nhập khẩu,Van/Minivan,0,Trắng,Đen,5,7,Số tự động,1539, TP HCM ,cũ,Dầu,2.1,Mercedes,2016
 BMW 5 Series 523i - 2011,Nhập khẩu,Sedan,100000,Xám,Kem,4,5,Số tự động,689, TP HCM ,cũ,Xăng,2.5,BMW,2011
 Lexus RX 350 AWD - 2009,Nhập khẩu,SUV,130000,Bạc,Kem,5,5,Số tự động,1180, TP HCM ,cũ,Xăng,3.5,Lexus,2009
 Mercedes Benz Maybach S450 4Matic - 2018,Nhập khẩu,Sedan,0,Đen,Đen,4,5,Số tự động,6550, Hà Nội ,cũ,Xăng,3.0,Mercedes,2018
 VinFast Lux A 2.0 Tiêu chuẩn - 2022,Lắp ráp trong nước,Sedan,0,Đỏ,Màu khác,4,5,Số tự động,882, TP HCM ,mới,Xăng,2.0,VinFast,2022
 Suzuki Carry Pro - 2022,Nhập khẩu,Truck,0,Trắng,Màu khác,2,2,Số tay,310, Hà Nội ,mới,Xăng,1.5,Suzuki,2022
 Mercedes Benz S class S400L - 2016,Lắp ráp trong nước,Sedan,22000,Trắng,Kem,4,5,Số tự động,2650, Hà Nội ,cũ,Xăng,3.0,Mercedes,2016
 Kia Seltos Premium 1.4 AT - 2021,Lắp ráp trong nước,Crossover,14000,Vàng,Kem,5,5,Số tự động,760, Hà Nội ,cũ,Xăng,1.4,Kia,2021
 Mercedes Benz GLC 300 4Matic - 2020,Lắp ráp trong nước,SUV,20000,Đen,Kem,5,5,Số tự động,2330, Hà Nội ,cũ,Xăng,2.0,Mercedes,2020
 Mercedes Benz GLK Class GLK250 4Matic - 2014,Lắp ráp trong nước,SUV,69000,Trắng,Đen,5,5,Số tự động,889, Hà Nội ,cũ,Xăng,2.0,Mercedes,2014
 Toyota Veloz Cross 1.5 CVT - 2022,Nhập khẩu,SUV,0,Bạc,Màu khác,5,7,Số tự động,648, Hà Nội ,mới,Xăng,1.5,Toyota,2022
 Chevrolet Captiva Revv LTZ 2.4 AT - 2016,Lắp ráp trong nước,SUV,44000,Trắng,Đen,5,7,Số tự động,538, Hà Nội ,cũ,Xăng,2.4,Chevrolet,2016
 Volvo XC90 T6 Inscription - 2018,Nhập khẩu,SUV,60000,Nâu,Nâu,5,7,Số tự động,2968, TP HCM ,cũ,Xăng,2.0,Volvo,2018
 Toyota Corolla altis 1.8G AT - 2015,Lắp ráp trong nước,Sedan,40000,Nâu,Đen,4,5,Số tự động,555, TP HCM ,cũ,Xăng,1.8,Toyota,2015
 Ford Ranger XLS 2.2L 4x2 AT - 2022,Lắp ráp trong nước,Bán tải / Pickup,0,Cát,Đen,4,5,Số tự động,662, TP HCM ,mới,Dầu,2.2,Ford,2022
 Mercedes Benz E class E200 Exclusive - 2021,Lắp ráp trong nước,Sedan,9600,Trắng,Đen,4,5,Số tự động,2180, Hà Nội ,cũ,Xăng,2.0,Mercedes,2021
 Mercedes Benz S class S450L - 2018,Lắp ráp trong nước,Sedan,59000,Xanh,Kem,4,5,Số tự động,3450, Hà Nội ,cũ,Xăng,3.0,Mercedes,2018
 Kia Cerato 1.6 AT - 2016,Lắp ráp trong nước,Sedan,0,Trắng,Kem,4,5,Số tự động,465, Hải Phòng ,cũ,Xăng,1.6,Kia,2016
 Toyota Vios 1.5E CVT - 2020,Lắp ráp trong nước,Sedan,36440,Đen,Kem,4,5,Số tự động,490, TP HCM ,cũ,Xăng,1.5,Toyota,2020
 Mercedes Benz C class C200 - 2018,Lắp ráp trong nước,Sedan,50000,Đen,Kem,4,5,Số tự động,1150, TP HCM ,cũ,Xăng,2.0,Mercedes,2018
 Porsche Cayenne 3.6 V6 - 2014,Nhập khẩu,SUV,43000,Nâu,Kem,5,5,Số tự động,2550, Hà Nội ,cũ,Xăng,3.6,Porsche,2014
 Mazda 6 Luxury 2.0 AT - 2020,Lắp ráp trong nước,Sedan,0,Trắng,Đen,4,5,Số tự động,780, Hà Nội ,cũ,Xăng,2.0,Mazda,2020
 VinFast Lux A 2.0 Cao cấp - 2022,Lắp ráp trong nước,Sedan,0,Đen,Xám,4,5,Số tự động,1074, Hà Nội ,mới,Xăng,2.0,VinFast,2022
 Hyundai Accent 1.4 AT Đặc Biệt - 2022,Lắp ráp trong nước,Sedan,0,Đỏ,Kem,4,5,Số tự động,535, TP HCM ,mới,Xăng,1.4,Hyundai,2022
 Mercedes Benz E class E250 - 2016,Lắp ráp trong nước,Sedan,38000,Đen,Đen,4,5,Số tự động,1499, Hà Nội ,cũ,Xăng,2.0,Mercedes,2016
 Ford Explorer Limited 2.3L EcoBoost - 2021,Nhập khẩu,SUV,0,Trắng,Đen,5,7,Số tự động,2366, TP HCM ,mới,Xăng,2.3,Ford,2021
 Hyundai Accent 1.4 AT Đặc Biệt - 2022,Lắp ráp trong nước,Sedan,3000,Đen,Kem,4,5,Số tự động,555, Hải Phòng ,cũ,Xăng,1.4,Hyundai,2022
 Toyota Corolla Cross 1.8G - 2022,Nhập khẩu,SUV,0,Trắng,Đen,5,5,Số tự động,746, TP HCM ,mới,Xăng,1.8,Toyota,2022
 Cadillac Escalade Platinum Luxury AWD - 2021,Nhập khẩu,SUV,0,Đen,Nâu,5,7,Số tự động,8690, Hà Nội ,mới,Dầu,3.0,Cadillac,2021
 Toyota Camry 2.5HV - 2022,Nhập khẩu,Sedan,0,Trắng,Kem,4,5,Số tự động,1460, TP HCM ,mới,Hybrid,2.5,Toyota,2022
 Toyota Camry 2.0G - 2020,Nhập khẩu,Sedan,0,Đen,Đen,4,5,Số tự động,960, Hà Nội ,cũ,Xăng,2.0,Toyota,2020
 Mercedes Benz Vito 111 CDI Van - 2014,Nhập khẩu,Van/Minivan,44000,Trắng,Cam,5,3,Số tay,439, TP HCM ,cũ,Dầu,2.1,Mercedes,2014
 Hyundai SantaFe Premium 2.4L HTRAC - 2020,Lắp ráp trong nước,SUV,15000,Nâu,Nâu,5,7,Số tự động,1139, Hà Nội ,cũ,Xăng,2.4,Hyundai,2020
 Lexus ES 250 - 2019,Nhập khẩu,Sedan,19000,Đỏ,Nâu,4,5,Số tự động,2390, Hà Nội ,cũ,Xăng,2.5,Lexus,2019
 Toyota Innova 2.0E - 2016,Lắp ráp trong nước,Crossover,59875,Vàng,Kem,5,8,Số tay,397, Hà Nội ,cũ,Xăng,2.0,Toyota,2016
 Mercedes Benz S class S500L - 2014,Lắp ráp trong nước,Sedan,0,Trắng,Đen,4,5,Số tự động,2465, Hà Nội ,cũ,Xăng,4.7,Mercedes,2014
 Mazda CX9 3.7 AT AWD - 2012,Nhập khẩu,SUV,80123,Xanh,Đen,5,7,Số tự động,595, Hà Nội ,cũ,Xăng,3.7,Mazda,2012
 Mercedes Benz C class C300 AMG - 2016,Lắp ráp trong nước,Sedan,34000,Trắng,Đỏ,4,5,Số tự động,1079, TP HCM ,cũ,Xăng,2.0,Mercedes,2016
 Ford Transit Limousine - 2022,Lắp ráp trong nước,Van/Minivan,0,Trắng,Nhiều màu,4,10,Số tay,1219, TP HCM ,mới,Dầu,2.2,Ford,2022
 Mercedes Benz E class E200 - 2008,Lắp ráp trong nước,Sedan,80000,Đỏ,Đen,4,5,Số tự động,355, TP HCM ,cũ,Xăng,1.8,Mercedes,2008
 Mercedes Benz C class C200 Exclusive - 2021,Lắp ráp trong nước,Sedan,7500,Đỏ,Kem,4,5,Số tự động,1630, Hà Nội ,cũ,Xăng,2.0,Mercedes,2021
 Lexus RX 350 - 2017,Nhập khẩu,SUV,50000,Cát,Nâu,5,5,Số tự động,2920, Hà Nội ,cũ,Xăng,3.5,Lexus,2017
 Nissan Almera VL 1.0 CVT Cao cấp - 2021,Nhập khẩu,Sedan,0,Trắng,Đen,4,5,Số tự động,550, TP HCM ,mới,Xăng,1.0,Nissan,2021
 Toyota Innova 2.0E - 2016,Lắp ráp trong nước,Crossover,59000,Vàng,Kem,5,8,Số tay,397, Hà Nội ,cũ,Xăng,2.0,Toyota,2016
 Kia K3 Premium 1.6 AT - 2022,Lắp ráp trong nước,Sedan,0,Đen,Đen,4,5,Số tự động,674, Hà Nội ,mới,Xăng,1.6,Kia,2022
 VinFast Lux SA 2.0 Cao cấp - 2022,Lắp ráp trong nước,SUV,0,Đen,Nâu,5,7,Số tự động,1423, Đồng Nai ,mới,Xăng,2.0,VinFast,2022
 Mercedes Benz C class C200 - 2019,Lắp ráp trong nước,Sedan,30000,Đen,Kem,4,5,Số tự động,1279, Hà Nội ,cũ,Xăng,1.5,Mercedes,2019
 Nissan X trail 2.5 SV 4WD Premium - 2018,Lắp ráp trong nước,SUV,0,Trắng,Đen,5,7,Số tự động,770, Hà Nội ,cũ,Xăng,2.5,Nissan,2018
 Hyundai i10 1.2 AT - 2021,Lắp ráp trong nước,Hatchback,0,Xanh,Đen,5,5,Số tự động,408, TP HCM ,mới,Xăng,1.25,Hyundai,2021
 Mitsubishi Triton 4x2 AT Mivec - 2021,Nhập khẩu,Bán tải / Pickup,0,Trắng,Đen,4,5,Số tự động,630, TP HCM ,mới,Dầu,2.4,Mitsubishi,2021
 Lexus RX 350 - 2020,Nhập khẩu,SUV,18000,Trắng,Nâu,5,5,Số tự động,4050, Hà Nội ,cũ,Xăng,3.5,Lexus,2020
 Toyota Prado TXL 2.7L - 2016,Nhập khẩu,SUV,80000,Đen,Đen,5,7,Số tự động,1650, Hà Nội ,cũ,Xăng,2.7,Toyota,2016
 BMW 5 Series 520i Luxury - 2021,Nhập khẩu,Sedan,4700,Xám,Nâu,4,5,Số tự động,2539, Hà Nội ,cũ,Xăng,2.0,BMW,2021
 Hyundai SantaFe Premium 2.2L HTRAC - 2020,Lắp ráp trong nước,SUV,16000,Đen,Nâu,5,7,Số tự động,1255, Hà Nội ,cũ,Dầu,2.2,Hyundai,2020
 Toyota Camry 2.0G - 2022,Nhập khẩu,Sedan,0,Đen,Kem,4,5,Số tự động,1035, Hà Nội ,mới,Xăng,2.0,Toyota,2022
 Kia Optima 2.0 GAT Luxury - 2019,Lắp ráp trong nước,Sedan,30000,Trắng,Kem,4,5,Số tự động,699, Hà Nội ,cũ,Xăng,2.0,Kia,2019
 Jeep Wrangler Rubicon 2.0 4x4 AT - 2021,Nhập khẩu,SUV,0,Vàng,Đen,5,5,Số tự động,3688, TP HCM ,mới,Xăng,2.0,Jeep,2021
 Jeep Wrangler Sport 2.0 4x4 AT - 2021,Nhập khẩu,SUV,0,Trắng,Đen,5,5,Số tự động,3356, TP HCM ,mới,Xăng,2.0,Jeep,2021
 Mercedes Benz GLK Class GLK250 4Matic - 2014,Lắp ráp trong nước,SUV,69000,Nâu,Đen,5,5,Số tự động,889, Hà Nội ,cũ,Xăng,2.0,Mercedes,2014
 Jeep Wrangler Rubicon 2.0 4x4 AT - 2021,Nhập khẩu,SUV,3000,Vàng,Đen,5,5,Số tự động,3550, TP HCM ,cũ,Xăng,2.0,Jeep,2021
 Ford Ranger XLS 2.2L 4x2 AT - 2021,Nhập khẩu,Bán tải / Pickup,12000,Trắng,Đen,4,5,Số tự động,755, Hà Nội ,cũ,Dầu,2.2,Ford,2021
 Ford Ranger Wildtrak 2.0L 4x4 AT - 2020,Nhập khẩu,Bán tải / Pickup,30000,Vàng,Đen,4,5,Số tự động,903, Hà Nội ,cũ,Dầu,2.0,Ford,2020
 Mazda CX5 2.5 Signature Premium 2WD - 2019,Lắp ráp trong nước,SUV,0,Đỏ,Đen,5,5,Số tự động,860, Hà Nội ,cũ,Xăng,2.5,Mazda,2019
 Lexus GX 470 - 2008,Nhập khẩu,SUV,65000,Vàng,Kem,5,7,Số tự động,1180, TP HCM ,cũ,Xăng,4.7,Lexus,2008
 Mercedes Benz GLC 300 4Matic - 2018,Lắp ráp trong nước,SUV,25000,Trắng,Nâu,5,5,Số tự động,1799, Hà Nội ,cũ,Xăng,2.0,Mercedes,2018
 Jeep Wrangler Sahara altitude - 2021,Nhập khẩu,SUV,0,Xanh,Đen,5,5,Số tự động,3586, TP HCM ,mới,Xăng,2.0,Jeep,2021
 Jeep Wrangler Sahara - 2021,Nhập khẩu,SUV,12000,Ghi,Đen,5,5,Số tự động,3299, TP HCM ,cũ,Xăng,0.0,Jeep,2021
 Jeep Wrangler Willys 2.0 4x4 AT - 2021,Nhập khẩu,SUV,0,Đen,Đen,5,5,Số tự động,3356, TP HCM ,mới,Xăng,2.0,Jeep,2021
 Audi A4 1.8 TFSI - 2014,Nhập khẩu,Sedan,32000,Trắng,Đen,4,5,Số tự động,850, TP HCM ,cũ,Xăng,1.8,Audi,2014
 Jeep Wrangler Rubicon 2.0 4x4 AT - 2021,Nhập khẩu,SUV,0,Đỏ,Đen,5,5,Số tự động,3688, TP HCM ,mới,Xăng,2.0,Jeep,2021
 Ford Everest Titanium 2.0L 4x4 AT - 2021,Nhập khẩu,SUV,30000,Đen,Đen,5,7,Số tự động,1400, Hà Nội ,cũ,Dầu,2.0,Ford,2021
 Ford Everest Titanium 2.0L 4x4 AT - 2021,Nhập khẩu,SUV,10000,Xanh,Đen,5,7,Số tự động,1385, Hà Nội ,cũ,Dầu,2.0,Ford,2021
 Mazda CX8 Premium AWD - 2022,Lắp ráp trong nước,SUV,0,Đỏ,Đen,5,7,Số tự động,1194, Lâm Đồng ,mới,Xăng,2.5,Mazda,2022
 Hyundai SantaFe Cao cấp 2.5L HTRAC - 2022,Lắp ráp trong nước,SUV,1000,Đen,Nâu,5,7,Số tự động,1430, Hà Nội ,cũ,Xăng,2.5,Hyundai,2022
 Mercedes Benz E class E250 - 2017,Lắp ráp trong nước,Sedan,30000,Trắng,Nâu,4,5,Số tự động,1699, Hà Nội ,cũ,Xăng,2.0,Mercedes,2017
 Ford Explorer Limited 2.3L EcoBoost - 2022,Nhập khẩu,SUV,2000,Đỏ,Đen,4,7,Số tự động,2345, TP HCM ,cũ,Xăng,2.3,Ford,2022
 Mitsubishi Attrage 1.2 CVT - 2020,Nhập khẩu,Sedan,14000,Đỏ,Đen,4,5,Số tự động,430, Đà Nẵng ,cũ,Xăng,1.2,Mitsubishi,2020
 Toyota Vios GR-S 1.5 CVT - 2022,Lắp ráp trong nước,Sedan,0,Đen,Đen,4,5,Số tự động,635, Bình Dương ,mới,Xăng,1.5,Toyota,2022
 Kia Cerato 2.0 AT Premium - 2021,Lắp ráp trong nước,Sedan,10000,Đen,Nhiều màu,4,5,Số tự động,660, Hà Nội ,cũ,Xăng,2.0,Kia,2021
 Kia Soluto 1.4 MT - 2022,Lắp ráp trong nước,Sedan,0,Trắng,Kem,4,5,Số tay,369, Kiên Giang ,mới,Xăng,1.4,Kia,2022
 Acura MDX SH-AWD - 2008,Nhập khẩu,SUV,63000,Đen,Kem,5,7,Số tự động,486, TP HCM ,cũ,Xăng,3.7,Acura,2008
 Hyundai Accent 1.4 AT - 2019,Lắp ráp trong nước,Sedan,0,Đen,Kem,4,5,Số tự động,475, Hải Phòng ,cũ,Xăng,1.4,Hyundai,2019
 Honda City G 1.5 AT - 2022,Lắp ráp trong nước,Sedan,0,Đen,Đen,4,5,Số tự động,529, Hà Nội ,mới,Xăng,1.5,Honda,2022
 MG ZS Standard 1.5 AT 2WD - 2021,Nhập khẩu,Crossover,0,Đỏ,Đen,5,5,Số tự động,519, Đồng Nai ,mới,Xăng,1.5,MG,2021
 Honda Accord 1.5 AT - 2022,Nhập khẩu,Sedan,0,Đen,Ghi,4,5,Số tự động,1319, Đồng Nai ,mới,Xăng,1.5,Honda,2022
 Nissan Almera VL 1.0 CVT Cao cấp - 2021,Nhập khẩu,Sedan,0,Trắng,Đen,4,5,Số tự động,568, Hà Nội ,mới,Xăng,1.0,Nissan,2021
 Toyota Corolla altis 1.8G - 2022,Nhập khẩu,Sedan,0,Đen,Kem,4,5,Số tự động,719, Hà Nội ,mới,Xăng,1.8,Toyota,2022
 Mazda cx3 Luxury 1.5 AT - 2022,Nhập khẩu,Crossover,0,Đỏ,Đen,5,5,Số tự động,656, Hà Nội ,mới,Xăng,1.5,Mazda,2022
 Mercedes Benz G class G63 AMG Edition 1 - 2021,Nhập khẩu,SUV,11000,Đen,Đỏ,5,5,Số tự động,13979, Hà Nội ,cũ,Xăng,4.0,Mercedes,2021
 Mazda 3 1.5L Deluxe - 2022,Lắp ráp trong nước,Sedan,0,Đỏ,Đen,4,5,Số tự động,669, An Giang ,mới,Xăng,1.5,Mazda,2022
 Kia Seltos Premium 1.4 AT - 2020,Lắp ráp trong nước,Crossover,18000,Trắng,Kem,5,5,Số tự động,750, Hải Phòng ,cũ,Xăng,1.4,Kia,2020
 Volkswagen Teramont 2.0 AT - 2021,Nhập khẩu,SUV,0,Đen,Đen,5,7,Số tự động,2349, Quảng Ninh ,mới,Xăng,2.0,Volkswagen,2021
 Toyota Camry 2.0G - 2022,Nhập khẩu,Sedan,0,Đen,Đen,4,5,Số tự động,1035, Hà Nội ,mới,Xăng,2.0,Toyota,2022
 Mercedes Benz GLE Class GLE 450 4Matic - 2021,Nhập khẩu,SUV,0,Trắng,Kem,5,7,Số tự động,4409, TP HCM ,mới,Xăng,3.0,Mercedes,2021
 Nissan Navara EL Premium R - 2018,Nhập khẩu,Bán tải / Pickup,38236,Xanh,Kem,4,5,Số tự động,539, Hà Nội ,cũ,Dầu,2.5,Nissan,2018
 Mercedes Benz S class New S450 - 2022,Nhập khẩu,Sedan,0,Trắng,Kem,4,4,Số tự động,5099, Hà Nội ,mới,Xăng,3.0,Mercedes,2022
 Ford EcoSport Titanium 1.5 AT - 2020,Lắp ráp trong nước,SUV,39000,Đỏ,Kem,5,5,Số tự động,555, Bình Thuận ,cũ,Xăng,1.5,Ford,2020
 Mitsubishi Xpander 1.5 AT - 2021,Nhập khẩu,SUV,0,Trắng,Đen,5,7,Số tự động,630, TP HCM ,mới,Xăng,1.5,Mitsubishi,2021
 VinFast Lux SA 2.0 Cao cấp - 2022,Lắp ráp trong nước,SUV,0,Xanh,Nâu,5,7,Số tự động,1423, TP HCM ,mới,Xăng,2.0,VinFast,2022
 Isuzu MU-X B7 1.9 4X2 MT - 2021,Nhập khẩu,SUV,0,Bạc,Kem,5,7,Số tay,770, TP HCM ,mới,Dầu,1.9,Isuzu,2021
 Acura MDX SH-AWD - 2007,Nhập khẩu,SUV,70000,Đen,Kem,5,7,Số tự động,480, TP HCM ,cũ,Xăng,3.7,Acura,2007
 Toyota Innova 2.0E - 2012,Lắp ráp trong nước,Crossover,96000,Cát,Xám,5,8,Số tay,330, Đăk Lăk ,cũ,Xăng,2.0,Toyota,2012
 Toyota Fortuner 2.7V 4x2 AT - 2015,Lắp ráp trong nước,SUV,96000,Xám,Kem,5,7,Số tự động,580, Hà Nội ,cũ,Xăng,2.7,Toyota,2015
 Lexus RX 200t - 2016,Nhập khẩu,SUV,0,Đỏ,Nâu,5,5,Số tự động,2480, Hà Nội ,cũ,Xăng,2.0,Lexus,2016
 Mercedes Benz S class S450L Luxury - 2018,Lắp ráp trong nước,Sedan,30000,Đen,Nâu,4,5,Số tự động,3480, Hà Nội ,cũ,Xăng,3.0,Mercedes,2018
 Kia Morning Deluxe - 2022,Lắp ráp trong nước,Hatchback,0,Trắng,Nhiều màu,5,5,Số tự động,349, An Giang ,mới,Xăng,1.25,Kia,2022
 Toyota Prado VX 2.7L - 2022,Nhập khẩu,SUV,0,Đen,Đen,5,7,Số tự động,2588, Hà Nội ,mới,Xăng,2.7,Toyota,2022
 Toyota Vios E 1.5 MT - 2022,Lắp ráp trong nước,Sedan,0,Đen,Màu khác,4,5,Số tay,483, TP HCM ,mới,Xăng,1.5,Toyota,2022
 Toyota Camry 2.5Q - 2020,Nhập khẩu,Sedan,26000,Đen,Kem,4,5,Số tự động,1265, Hà Nội ,cũ,Xăng,2.5,Toyota,2020
 BMW X5 xDrive40i xLine - 2021,Nhập khẩu,SUV,0,Trắng,Nâu,5,7,Số tự động,4239, Khánh Hòa ,mới,Xăng,3.0,BMW,2021
 Hyundai Tucson 2.0 ATH - 2020,Lắp ráp trong nước,Crossover,25000,Trắng,Kem,5,5,Số tự động,890, Hà Nội ,cũ,Xăng,2.0,Hyundai,2020
 Audi A6 2.0T - 2013,Nhập khẩu,Sedan,70000,Trắng,Kem,5,5,Số tự động,888, Hà Nội ,cũ,Xăng,2.0,Audi,2013
 Kia Carnival Signature 3.5G - 2022,Lắp ráp trong nước,Van/Minivan,0,Đen,Nâu,5,7,Số tự động,1849, Hà Nội ,mới,Xăng,3.5,Kia,2022
 Lexus RX 350 - 2020,Nhập khẩu,SUV,18000,Trắng,Nâu,5,5,Số tự động,4030, Hà Nội ,cũ,Xăng,3.5,Lexus,2020
 BMW X7 xDrive40i M Sport - 2020,Nhập khẩu,SUV,0,Trắng,Đen,5,7,Số tự động,6200, Hà Nội ,cũ,Xăng,3.0,BMW,2020
 Ford Ranger XLS 2.2L 4x2 AT - 2017,Nhập khẩu,Bán tải / Pickup,71239,Bạc,Nhiều màu,4,5,Số tự động,610, Bình Dương ,cũ,Dầu,2.2,Ford,2017
 Honda Accord 2.4 AT Coupe - 2008,Nhập khẩu,Coupe,70000,Xanh,Đen,2,5,Số tự động,660, Đồng Nai ,cũ,Xăng,2.4,Honda,2008
 Lexus NX 300 - 2018,Nhập khẩu,SUV,20000,Đỏ,Đỏ,5,5,Số tự động,2260, TP HCM ,cũ,Xăng,2.0,Lexus,2018
 Lexus ES 250 - 2019,Nhập khẩu,Sedan,0,Cát,Nâu,4,5,Số tự động,2368, Hà Nội ,cũ,Xăng,2.5,Lexus,2019
 Kia Seltos Deluxe 1.4 AT - 2022,Lắp ráp trong nước,Crossover,0,Đen,Đen,5,5,Số tự động,634, An Giang ,mới,Xăng,1.4,Kia,2022
 BMW X6 xDrive35i - 2016,Nhập khẩu,SUV,58000,Đen,Nâu,5,5,Số tự động,2250, Hà Nội ,cũ,Xăng,3.0,BMW,2016
 Porsche Macan 2.0 - 2015,Nhập khẩu,SUV,50000,Trắng,Đen,4,5,Số tự động,2580, Hà Nội ,cũ,Xăng,2.0,Porsche,2015
 BMW X2 sDrive20i M Sport X - 2018,Nhập khẩu,Crossover,9000,Đen,Đen,5,5,Số tự động,1520, Hà Nội ,cũ,Xăng,2.0,BMW,2018
 Mercedes Benz GLC 300 4Matic - 2022,Lắp ráp trong nước,SUV,0,Đỏ,Nâu,5,5,Số tự động,2569, TP HCM ,mới,Xăng,2.0,Mercedes,2022
 Toyota Vios G 1.5 CVT - 2022,Lắp ráp trong nước,Sedan,0,Cát,Đen,4,5,Số tự động,541, Hà Nội ,mới,Xăng,1.5,Toyota,2022
 Toyota Veloz Cross Top 1.5 CVT - 2022,Nhập khẩu,SUV,0,Trắng,Đen,5,7,Số tự động,696, TP HCM ,mới,Xăng,1.5,Toyota,2022
 Ford Fiesta S 1.5 AT - 2016,Lắp ráp trong nước,Hatchback,60000,Trắng,Đen,5,5,Số tự động,360, Hà Nội ,cũ,Xăng,1.5,Ford,2016
 Mercedes Benz S class S450L Luxury - 2017,Lắp ráp trong nước,Sedan,0,Trắng,Đen,4,5,Số tự động,3580, Hà Nội ,cũ,Xăng,3.0,Mercedes,2017
 VinFast Lux A 2.0 2.0 AT - 2021,Lắp ráp trong nước,Sedan,20000,Đỏ,Nâu,4,5,Số tự động,770, Hà Nội ,cũ,Xăng,2.0,VinFast,2021
 Mercedes Benz GLC 300 4Matic - 2020,Nhập khẩu,SUV,17000,Trắng,Đen,5,5,Số tự động,2480, Hà Nội ,cũ,Xăng,2.0,Mercedes,2020
 Volvo XC90 T6 2.0 AT - 2015,Nhập khẩu,SUV,50000,Xám,Kem,5,7,Số tự động,2720, Hà Nội ,cũ,Xăng,2.0,Volvo,2015
 Mitsubishi Triton Athlete 4x4 AT - 2022,Nhập khẩu,Bán tải / Pickup,0,Cam,Nhiều màu,4,5,Số tự động,871, Hà Nội ,mới,Dầu,2.4,Mitsubishi,2022
 Rolls Royce Ghost Series II - 2016,Nhập khẩu,Sedan,10000,Xanh,Kem,4,4,Số tự động,18999, Hà Nội ,cũ,Xăng,6.6,Rolls Royce,2016
 Honda City L 1.5 AT - 2022,Lắp ráp trong nước,Sedan,0,Trắng,Đen,4,5,Số tự động,549, Hà Nội ,mới,Xăng,1.5,Honda,2022
 Hyundai Accent 1.4 AT - 2012,Nhập khẩu,Sedan,88000,Trắng,Kem,4,5,Số tự động,338, Lâm Đồng ,cũ,Xăng,1.4,Hyundai,2012
 Toyota Vios 1.5G - 2020,Lắp ráp trong nước,Sedan,0,Trắng,Kem,4,5,Số tự động,520, TP HCM ,cũ,Xăng,1.5,Toyota,2020
 Mercedes Benz GLE Class GLE 450 4Matic - 2020,Nhập khẩu,SUV,17000,Đen,Nâu,5,7,Số tự động,4240, Hà Nội ,cũ,Xăng,3.0,Mercedes,2020
 Kia Morning Luxury - 2022,Lắp ráp trong nước,Hatchback,0,Trắng,Kem,5,5,Số tự động,383, Lâm Đồng ,mới,Xăng,1.25,Kia,2022
 Honda City RS 1.5 AT - 2022,Lắp ráp trong nước,Sedan,0,Xanh,Đen,4,5,Số tự động,579, Hà Nội ,mới,Xăng,1.5,Honda,2022
 Hyundai Elantra 2.0 AT - 2020,Lắp ráp trong nước,Sedan,30000,Kem,Kem,4,5,Số tự động,658, Hà Nội ,cũ,Xăng,2.0,Hyundai,2020
 Mercedes Benz S class S400L - 2016,Lắp ráp trong nước,Sedan,0,Đen,Kem,4,5,Số tự động,2395, Hà Nội ,cũ,Xăng,3.0,Mercedes,2016
 Mercedes Benz C class C300 AMG - 2018,Lắp ráp trong nước,Sedan,45000,Đỏ,Đen,4,5,Số tự động,1289, TP HCM ,cũ,Xăng,2.0,Mercedes,2018
 Lexus RX 350 - 2020,Nhập khẩu,SUV,20000,Trắng,Kem,5,5,Số tự động,4090, TP HCM ,cũ,Xăng,3.5,Lexus,2020
 Mercedes Benz GLK Class GLK300 4Matic - 2010,Lắp ráp trong nước,SUV,133000,Trắng,Màu khác,5,5,Số tự động,530, Bình Dương ,cũ,Xăng,3.0,Mercedes,2010
 Toyota Yaris 1.5G - 2017,Nhập khẩu,Hatchback,0,Đỏ,Nâu,5,5,Số tự động,525, TP HCM ,cũ,Xăng,1.5,Toyota,2017
 Mazda CX5 2.5 AT AWD - 2016,Lắp ráp trong nước,SUV,24000,Đỏ,Đen,5,5,Số tự động,695, Hà Nội ,cũ,Xăng,2.5,Mazda,2016
 Ford Everest Titanium 2.0L 4x4 AT - 2022,Nhập khẩu,SUV,0,Đen,Đen,5,7,Số tự động,1381, TP HCM ,mới,Dầu,2.0,Ford,2022
 Subaru Forester 2.0i-L - 2022,Nhập khẩu,SUV,0,Xanh,Đen,5,5,Số tự động,899, Hà Nội ,mới,Xăng,2.0,Subaru,2022
 BMW 7 Series 730Li - 2021,Nhập khẩu,Sedan,0,Nâu,Xám,4,5,Số tự động,6139, Khánh Hòa ,mới,Xăng,2.0,BMW,2021
 Mercedes Benz GLC 300 4Matic - 2020,Lắp ráp trong nước,SUV,12000,Đỏ,Đen,5,5,Số tự động,2350, Hà Nội ,cũ,Xăng,2.0,Mercedes,2020
